state,district,stcode11,dtcode11,blkcode11,block_name,block_lgd,FID,dist_lgd,state_lgd,st_area_sh,st_length_
Assam,Dhemaji,"18","308","0088",Murkongselek,"2548","2611","284","18",1092830537,205631.691134
Assam,Chirang,"18","320","0178",Sidli-chirang Pt.,"2505","2612","612","18",1137723251.95,181003.886727
Assam,Goalpara,"18","302","0023",Balijana,"2570","2613","287","18",370053415.803,119072.112937
Assam,Cachar,"18","316","0157",Baskandi,"2508","2614","282","18",123361800.349,76547.9232509
Assam,Cachar,"18","316","0154",Barjalenga,"2509","2615","282","18",124964215.423,74196.9761116
Assam,Cachar,"18","316","0149",Kalain,"2512","2616","282","18",735243025.745,186609.671233
Assam,Cachar,"18","316","0160",Lakhipur,"2514","2617","282","18",242274989.991,138221.743539
Assam,Cachar,"18","316","0155",Narshingpur,"2515","2618","282","18",459087593.021,155758.204106
Assam,Cachar,"18","316","0156",Palanghat,"2516","2619","282","18",681057124.097,165620.83516
Assam,Cachar,"18","316","0159",Rajabazar,"2517","2620","282","18",465036309.998,148064.792772
Assam,Cachar,"18","316","0153",Sonai,"2520","2621","282","18",175205197.568,117800.395136
Assam,Goalpara,"18","302","0022",Kharmuja,"2572","2622","287","18",210947470.903,91433.131958
Assam,Darrang,"18","325","0215",Bechimari,"2523","2623","283","18",160969592.83,137501.885398
Assam,Darrang,"18","325","0216",Dolgaon-sialmari,"2527","2625","283","18",421157838.716,188463.989793
Assam,Darrang,"18","325","0214",Kalaigaon,"2528","2626","283","18",142166159.204,123848.40333
Assam,Darrang,"18","325","0212",Pachim-mangaldai,"2535","2627","283","18",245449321.632,142184.139116
Assam,Darrang,"18","325","0213",Pub-mangaldai,"2537","2628","283","18",409741479.864,152671.258379
Assam,Darrang,"18","325","0211",Sipajhar,"2540","2629","283","18",583758256.001,173444.672978
Assam,Dhemaji,"18","308","0087",Sissibargaon,"2544","2630","284","18",952621635.578,183921.464271
Assam,Dhemaji,"18","308","0090",Bordoloni,"2545","2632","284","18",610896803.206,155313.37548
Assam,Dhemaji,"18","308","0086",Dhemaji,"2546","2633","284","18",505206414.746,134880.49794
Assam,Dhemaji,"18","308","0089",Machkhowa,"2547","2634","284","18",11372132.5726,17414.8059258
Assam,Dhubri,"18","301","0011",Chapar-salkocha,"2552","2635","285","18",243535651.218,121687.208402
Assam,Dhubri,"18","301","0008",Debitola,"2553","2636","285","18",68062218.7834,56469.0339511
Assam,South Salmara-Mankachar,"18","758","0018",Fekamari,"2554","2637","707","18",197703878.022,89187.1996783
Assam,Goalpara,"18","302","0024",Krishnai,"2573","2638","287","18",348893638.001,115878.074023
Assam,Dhubri,"18","301","0013",Gauripur,"2555","2639","285","18",333565610.998,155700.552385
Assam,Dhubri,"18","301","0006",Golokganj,"2556","2640","285","18",174607911.999,123412.443387
Assam,Dhubri,"18","301","0009",Mahamaya,"2558","2642","285","18",147807961.849,114116.66564
Assam,Golaghat,"18","313","0126",Golaghat Central,"2578","2643","288","18",239559236.311,113647.70724
Assam,Goalpara,"18","302","0025",Matia,"2576","2644","287","18",252262733.616,108384.930626
Assam,Kamrup,"18","321","0191",Rampur,"2612","2645","291","18",174876033.658,87734.6358005
Assam,South Salmara-Mankachar,"18","758","0019",Mankachar,"2559","2646","707","18",142926522.301,105525.876017
Assam,Dhubri,"18","301","0007",Rupsi Pt.,"2561","2647","285","18",140101908.563,115158.658619
Assam,South Salmara-Mankachar,"18","758","0017",South Salmara,"2562","2648","707","18",390749317.16,119672.283619
Assam,Goalpara,"18","302","0027",Rongjuli,"2577","2649","287","18",368065719.053,100594.360233
Assam,Dibrugarh,"18","310","0098",Barbarua,"2563","2650","286","18",920123473.606,215823.200412
Assam,Dibrugarh,"18","310","0104",Joypur,"2564","2651","286","18",589726835.386,182707.465599
Assam,Dibrugarh,"18","310","0102",Khowang,"2565","2652","286","18",501303632.736,150937.431296
Assam,Dibrugarh,"18","310","0099",Lahowal,"2566","2653","286","18",736028403.111,155515.605952
Assam,Golaghat,"18","313","0124",Golaghat North,"2580","2654","288","18",171309061.115,70749.5145309
Assam,Golaghat,"18","313","0129",Golaghat South,"2581","2655","288","18",1121022284.45,312270.085223
Assam,Golaghat,"18","313","0122",Golaghat West,"2582","2656","288","18",1658758987.14,319039.66648
Assam,Dibrugarh,"18","310","0100",Panitola,"2567","2657","286","18",605533191.289,150134.877964
Assam,Dibrugarh,"18","310","0101",Tengakhat,"2568","2658","286","18",452226451.744,190625.630876
Assam,Dibrugarh,"18","310","0103",Tingkhong,"2569","2659","286","18",496757948.158,135544.016028
Assam,Goalpara,"18","302","0020",Jaleswar,"2571","2660","287","18",256279084.082,120635.676327
Assam,Goalpara,"18","302","0026",Kushdhawa,"2574","2661","287","18",306153546.47,126381.511814
Assam,Karimganj,"18","317","0166",Ramkrishna Nagar,"2632","2662","293","18",235882317.642,93935.4564639
Assam,Goalpara,"18","302","0021",Lakhipur,"2575","2663","287","18",349118347.355,166508.57047
Assam,Morigaon,"18","304","0046",Dulongghat Pt.,"2651","2664","296","18",88444880.9763,43468.6021327
