objectid,vilnam_soi,stcode11,dtcode11,sdtcode11,vilcode11,stname,dtname,sdtname,vilname,vilcode_n,relocated,t_pop2011,STVIL,LOC_STAT_1,NAME
"473110",Chaudhapunia,"18","307","02048","287464",ASSAM,Lakhimpur,Narayanpur,Chaudhapunia,"287464",,"1368","18287464",Census Village,Chaudhapunia
"473113",Garamur Phutuki,"18","760","02076","293407",ASSAM,Jorhat,Majuli,Garamur Phutuki Chapori,"293407",,"2820","18293407",Census Village,Garamur Phutuki Chapori
"473114",Sarjan No.4,"18","307","02048","287465",ASSAM,Lakhimpur,Narayanpur,No.4 Sarjan,"287465",,"519","18287465",Census Village,No.4 Sarjan
"473125",Mohan Gaon,"18","311","02073","292917",ASSAM,Sivasagar,Nazira,Mohan,"292917",,"1266","18292917",Census Village,Mohan
"473140",Jogigaon,"18","760","02076","293443",ASSAM,Jorhat,Majuli,Jogi Gaon,"293443",,"796","18293443",Census Village,Jogi Gaon
"473150",Komarbari,"18","307","02048","287525",ASSAM,Lakhimpur,Narayanpur,Kamarbari,"287525",,"388","18287525",Census Village,Kamarbari
"473175",Bahogpur Miri,"18","760","02076","293427",ASSAM,Jorhat,Majuli,Bhogpur Miri,"293427",,"792","18293427",Census Village,Bhogpur Miri
"473228",Salaguri,"18","311","02072","292628",ASSAM,Sivasagar,Amguri,Sala Guria,"292628",,"4694","18292628",Census Village,Sala Guria
"473246",Singia No.2,"18","307","02048","287475",ASSAM,Lakhimpur,Narayanpur,No.2 Singia,"287475",,"193","18287475",Census Village,No.2 Singia
"473249",Kawoimari,"18","307","02048","287696",ASSAM,Lakhimpur,Narayanpur,Kawoimari,"287696",,"352","18287696",Census Village,Kawoimari
"473254",Chalokhori Pathar,"18","307","02048","287695",ASSAM,Lakhimpur,Narayanpur,Chalokhori Pathar,"287695",,"103","18287695",Census Village,Chalokhori Pathar
"473259",Bhulukaguri,"18","307","02049","287712",ASSAM,Lakhimpur,Bihpuria,Bhalukaguri,"287712",,"1316","18287712",Census Village,Bhalukaguri
"473268",Boraikhana,"18","307","02049","287723",ASSAM,Lakhimpur,Bihpuria,Boraikhana,"287723",,"1379","18287723",Census Village,Boraikhana
"473285",Kachari Pathar,"18","307","02048","287461",ASSAM,Lakhimpur,Narayanpur,Kachari Pathar,"287461",,"228","18287461",Census Village,Kachari Pathar
"473286",Amkotia Gohain Gaon,"18","311","02073","292894",ASSAM,Sivasagar,Nazira,Amkotia Gohain,"292894",,"775","18292894",Census Village,Amkotia Gohain
"473321",Meragarh,"18","760","02076","293461",ASSAM,Jorhat,Majuli,Mera Garh,"293461",,"405","18293461",Census Village,Mera Garh
"473324",Kakotibari,"18","760","02076","293428",ASSAM,Jorhat,Majuli,Kakati Bari,"293428",,"473","18293428",Census Village,Kakati Bari
"473339",Pokadol Pathar,"18","307","02049","287716",ASSAM,Lakhimpur,Bihpuria,Pakadol Pathar,"287716",,"507","18287716",Census Village,Pakadol Pathar
"473352",Purani Bahgara,"18","307","02049","287713",ASSAM,Lakhimpur,Bihpuria,Purani Bahgora,"287713",,"676","18287713",Census Village,Purani Bahgora
"473358",Nimuri No.4,"18","307","02048","287414",ASSAM,Lakhimpur,Narayanpur,No.4 Nimuri,"287414",,"658","18287414",Census Village,No.4 Nimuri
"473362",Mudoitati,"18","760","02076","293460",ASSAM,Jorhat,Majuli,Mudoi Tanti,"293460",,"402","18293460",Census Village,Mudoi Tanti
"473366",Pokadol Grant,"18","307","02049","287740",ASSAM,Lakhimpur,Bihpuria,Pakadol Gaon,"287740",,"90","18287740",Census Village,Pakadol Gaon
"473367",Bamun Gaon,"18","311","02073","292921",ASSAM,Sivasagar,Nazira,Bamun Bari,"292921",,"375","18292921",Census Village,Bamun Bari
"473371",Namti Gaon,"18","311","02073","292878",ASSAM,Sivasagar,Nazira,Na-Mati Gaon,"292878",,"2119","18292878",Census Village,Na-Mati Gaon
"473379",Sarjan No.2,"18","307","02048","287463",ASSAM,Lakhimpur,Narayanpur,No.2 Sarjan,"287463",,"175","18287463",Census Village,No.2 Sarjan
"473398",Lahon Gaon,"18","311","02073","292916",ASSAM,Sivasagar,Nazira,Lahon Gaon,"292916",,"747","18292916",Census Village,Lahon Gaon
