blkcode11,block_name,reg_count,full_pay_count,part_pay_count,no_pay_count,extra_pay_count,no_install_paid,amount_paid,no_install_due,amount_due
187,Bangaon,2546,557,346,1643,0,5012,"₹1,00,24,000 ",16781,"₹3,35,62,000 "
189,Chamaria,3410,2364,1033,13,0,21765,"₹4,35,30,000 ",24991,"₹4,99,82,000 "
194,Chandrapur,579,467,112,0,0,3939,"₹78,78,000 ",4277,"₹85,54,000 "
192,Chayani Barduar,2914,2543,365,6,0,20165,"₹4,03,30,000 ",21311,"₹4,26,22,000 "
186,Chhaygaon,1368,881,485,2,0,9028,"₹1,80,56,000 ",10425,"₹2,08,50,000 "
195,Dimoria,3473,3076,396,1,0,24012,"₹4,80,24,000 ",25239,"₹5,04,78,000 "
205,Goreswar (part),2332,715,1091,526,0,8122,"₹1,62,44,000 ",14877,"₹2,97,54,000 "
184,Hajo,14954,7944,6856,154,0,89878,"₹17,97,56,000 ",111443,"₹22,28,86,000 "
138,Longsomepi,706,0,678,28,0,3345,"₹66,90,000 ",5044,"₹1,00,88,000 "
134,Lumbajang,402,0,387,15,0,811,"₹16,22,000 ",3058,"₹61,16,000 "
140,Nilip,437,0,353,84,0,663,"₹13,26,000 ",3190,"₹63,80,000 "
182,Kamalpur,6188,5042,1138,8,0,43072,"₹8,61,44,000 ",46554,"₹9,31,08,000 "
131,Chinthong,4078,8,732,3338,0,949,"₹18,98,000 ",25999,"₹5,19,98,000 "
136,Howraghat,5844,0,5151,693,0,10643,"₹2,12,86,000 ",43388,"₹8,67,76,000 "
132,Rongkhag,6849,0,5501,1348,0,10818,"₹2,16,36,000 ",50040,"₹10,00,80,000 "
139,Rongmongway,1057,1,767,289,0,3374,"₹67,48,000 ",7194,"₹1,43,88,000 "
163,Badarpur,5290,3880,1388,22,0,33473,"₹6,69,46,000 ",37782,"₹7,55,64,000 "
53,Juria,7346,2548,4789,9,0,40312,"₹8,06,24,000 ",54877,"₹10,97,54,000 "
167,Dullavcherra,1496,971,489,36,0,9314,"₹1,86,28,000 ",11019,"₹2,20,38,000 "
54,Khagarijan,3683,1064,2618,1,0,19274,"₹3,85,48,000 ",27191,"₹5,43,82,000 "
165,Lowairpoa,2313,1879,390,44,0,15568,"₹3,11,36,000 ",17040,"₹3,40,80,000 "
161,North Karimganj,4515,3415,1100,0,0,29000,"₹5,80,00,000 ",32329,"₹6,46,58,000 "
162,South Karimganj,5143,4136,958,49,0,33764,"₹6,75,28,000 ",36961,"₹7,39,22,000 "
4,Dotoma,13185,8540,4639,6,0,86578,"₹17,31,56,000 ",100682,"₹20,13,64,000 "
2,Gossaigaon,4776,2469,2238,69,0,26888,"₹5,37,76,000 ",36291,"₹7,25,82,000 "
42,Mairabari Pt.,12442,2700,8886,856,0,42694,"₹8,53,88,000 ",93011,"₹18,60,22,000 "
47,Pachim-kaliabor,2746,1496,1248,2,0,16420,"₹3,28,40,000 ",20270,"₹4,05,40,000 "
1,Kachugaon,5887,3523,2361,3,0,37474,"₹7,49,48,000 ",44713,"₹8,94,26,000 "
5,Kokrajhar,17528,9747,7700,81,0,106081,"₹21,21,62,000 ",131351,"₹26,27,02,000 "
79,Bihpuria,5837,3898,1776,163,0,34990,"₹6,99,80,000 ",40784,"₹8,15,68,000 "
81,Boginodi,7395,3030,4292,73,0,42129,"₹8,42,58,000 ",55582,"₹11,11,64,000 "
84,Dhakuakhana,11547,7090,4371,82,4,69262,"₹13,85,24,000 ",82857,"₹16,57,14,000 "
85,Ghilamora,5207,3254,1863,90,0,31077,"₹6,21,54,000 ",37086,"₹7,41,72,000 "
78,Karunabari,13571,6545,6732,294,0,75030,"₹15,00,60,000 ",97515,"₹19,50,30,000 "
82,Lakhimpur,4504,2000,2496,8,0,25699,"₹5,13,98,000 ",33283,"₹6,65,66,000 "
77,Narayanpur,15691,8801,6252,638,0,89670,"₹17,93,40,000 ",111515,"₹22,30,30,000 "
80,Nowboicha,5022,2885,2111,26,0,30091,"₹6,01,82,000 ",36663,"₹7,33,26,000 "
83,Telahi,3774,2133,1567,74,0,22351,"₹4,47,02,000 ",27651,"₹5,53,02,000 "
43,Bhurbandha,12721,1019,7670,4032,0,23226,"₹4,64,52,000 ",94176,"₹18,83,52,000 "
41,Laharighat,16502,1483,13671,1348,0,37226,"₹7,44,52,000 ",124597,"₹24,91,94,000 "
40,Mayang,23256,2181,16696,4379,0,45119,"₹9,02,38,000 ",170719,"₹34,14,38,000 "
49,Bajiagaon,2845,1121,1721,3,0,15670,"₹3,13,40,000 ",20903,"₹4,18,06,000 "
51,Barhampur,2945,2425,516,4,0,20241,"₹4,04,82,000 ",21853,"₹4,37,06,000 "
