,state,district,stcode11,dtcode11,blkcode11,block_name,block_lgd,FID,dist_lgd,state_lgd,st_area_sh,st_length_,objectid,vilnam_soi,stcode11_2,dtcode11_2,sdtcode11,vilcode11,stname,dtname,sdtname,vilname,vilcode_n,t_pop2011,STVIL,LOC_STAT_1,NAME
636,Assam,South Salmara-Mankachar,18,758,16,Jamadarhat,2557,2592,707,18,116476301.7,57612.61117,400929.0,Mahajanpara,18.0,758.0,2011.0,281521.0,ASSAM,South Salmara Mancachar,South Salmara,Mahajan Para,281521.0,747.0,18281521.0,Census Village,Mahajan Para
637,Assam,South Salmara-Mankachar,18,758,16,Jamadarhat,2557,2592,707,18,116476301.7,57612.61117,400953.0,Mahajanpara,18.0,758.0,2011.0,281521.0,ASSAM,South Salmara Mancachar,South Salmara,Mahajan Para,281521.0,747.0,18281521.0,Census Village,Mahajan Para
645,Assam,South Salmara-Mankachar,18,758,16,Jamadarhat,2557,2592,707,18,116476301.7,57612.61117,401616.0,Dingdinga,18.0,758.0,2011.0,281561.0,ASSAM,South Salmara Mancachar,South Salmara,Dingdinga,281561.0,4515.0,18281561.0,Census Village,Dingdinga
646,Assam,South Salmara-Mankachar,18,758,16,Jamadarhat,2557,2592,707,18,116476301.7,57612.61117,401672.0,Dingdinga,18.0,758.0,2011.0,281561.0,ASSAM,South Salmara Mancachar,South Salmara,Dingdinga,281561.0,4515.0,18281561.0,Census Village,Dingdinga
654,Assam,South Salmara-Mankachar,18,758,16,Jamadarhat,2557,2592,707,18,116476301.7,57612.61117,402423.0,Noraomari N.C.,18.0,758.0,2011.0,281535.0,ASSAM,South Salmara Mancachar,South Salmara,Narowamari Nc,281535.0,44.0,18281535.0,Census Village,Narowamari Nc
656,Assam,South Salmara-Mankachar,18,758,16,Jamadarhat,2557,2592,707,18,116476301.7,57612.61117,402597.0,Noraomari N.C.,18.0,758.0,2011.0,281535.0,ASSAM,South Salmara Mancachar,South Salmara,Narowamari Nc,281535.0,44.0,18281535.0,Census Village,Narowamari Nc
828,Assam,Barpeta,18,303,31,Mandia,2497,2596,280,18,740865791.7,186104.1474,421953.0,Mandia Bardalani,18.0,303.0,2020.0,282802.0,ASSAM,Barpeta,Baghbor,Mandia Bardalani N.C.,282802.0,8607.0,18282802.0,Census Village,Mandia Bardalani N.C.
843,Assam,Barpeta,18,303,31,Mandia,2497,2596,280,18,740865791.7,186104.1474,423934.0,Mandia Bardalani,18.0,303.0,2020.0,282802.0,ASSAM,Barpeta,Baghbor,Mandia Bardalani N.C.,282802.0,8607.0,18282802.0,Census Village,Mandia Bardalani N.C.
855,Assam,Barpeta,18,303,31,Mandia,2497,2596,280,18,740865791.7,186104.1474,426397.0,Completely Eroded Village,18.0,303.0,2020.0,305761.0,ASSAM,Barpeta,Baghbor,Khalingduar  RF,305761.0,3065.0,18305761.0,Census Village,Khalingduar  RF
1010,Assam,Cachar,18,316,146,Katigorah,2513,2600,282,18,174502619.1,123871.9637,326940.0,Sripur Pt. Ii,18.0,316.0,2095.0,298964.0,ASSAM,Cachar,Maibong,Sripur Pt II,298964.0,1742.0,18298964.0,Census Village,Sripur Pt II
1011,Assam,Cachar,18,316,146,Katigorah,2513,2600,282,18,174502619.1,123871.9637,326988.0,Sripur Pt. Ii,18.0,316.0,2095.0,298964.0,ASSAM,Cachar,Maibong,Sripur Pt II,298964.0,1742.0,18298964.0,Census Village,Sripur Pt II
1014,Assam,Cachar,18,316,146,Katigorah,2513,2600,282,18,174502619.1,123871.9637,327905.0,Sripur Pt. I,18.0,316.0,2095.0,298963.0,ASSAM,Cachar,Maibong,Sripur Pt I,298963.0,1617.0,18298963.0,Census Village,Sripur Pt I
1015,Assam,Cachar,18,316,146,Katigorah,2513,2600,282,18,174502619.1,123871.9637,327960.0,Sripur Pt. I,18.0,316.0,2095.0,298963.0,ASSAM,Cachar,Maibong,Sripur Pt I,298963.0,1617.0,18298963.0,Census Village,Sripur Pt I
1018,Assam,Cachar,18,316,146,Katigorah,2513,2600,282,18,174502619.1,123871.9637,328888.0,Nazatpur,18.0,316.0,2095.0,298934.0,ASSAM,Cachar,Maibong,Nazat Pur,298934.0,2036.0,18298934.0,Census Village,Nazat Pur
1019,Assam,Cachar,18,316,146,Katigorah,2513,2600,282,18,174502619.1,123871.9637,328917.0,Nazatpur,18.0,316.0,2095.0,298934.0,ASSAM,Cachar,Maibong,Nazat Pur,298934.0,2036.0,18298934.0,Census Village,Nazat Pur
1022,Assam,Cachar,18,316,146,Katigorah,2513,2600,282,18,174502619.1,123871.9637,329321.0,Kalinagar,18.0,316.0,2095.0,298959.0,ASSAM,Cachar,Maibong,Kalinagar,298959.0,1285.0,18298959.0,Census Village,Kalinagar
1023,Assam,Cachar,18,316,146,Katigorah,2513,2600,282,18,174502619.1,123871.9637,329347.0,Kalinagar,18.0,316.0,2095.0,298959.0,ASSAM,Cachar,Maibong,Kalinagar,298959.0,1285.0,18298959.0,Census Village,Kalinagar
1043,Assam,Cachar,18,316,146,Katigorah,2513,2600,282,18,174502619.1,123871.9637,330443.0,Dudhpur Part I,18.0,316.0,2095.0,298965.0,ASSAM,Cachar,Maibong,Dudpur Pt I,298965.0,2382.0,18298965.0,Census Village,Dudpur Pt I
