,state,district,stcode11,dtcode11,blkcode11,block_name,block_lgd,FID,dist_lgd,state_lgd,st_area_sh,st_length_,objectid,vilnam_soi,stcode11_2,dtcode11_2,sdtcode11,vilcode11,stname,dtname,sdtname,vilname,vilcode_n,t_pop2011,STVIL,LOC_STAT_1,NAME
3941,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483080.0,Raidingia Gaon,18.0,310.0,2067.0,291998.0,ASSAM,Dibrugarh,Moran,Raidangia Gaon,291998.0,188.0,18291998.0,Census Village,Raidangia Gaon
3942,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483113.0,Khowang Grant No.108,18.0,310.0,2067.0,291903.0,ASSAM,Dibrugarh,Moran,Khowang Chah Co. 108 No Fs Grant,291903.0,2261.0,18291903.0,Census Village,Khowang Chah Co. 108 No Fs Grant
3943,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483136.0,Bordalani Gaon,18.0,310.0,2067.0,291856.0,ASSAM,Dibrugarh,Moran,Bordoloni Gaon,291856.0,256.0,18291856.0,Census Village,Bordoloni Gaon
3944,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483139.0,Bezgaon,18.0,310.0,2067.0,291850.0,ASSAM,Dibrugarh,Moran,Bez Gaon,291850.0,329.0,18291850.0,Census Village,Bez Gaon
3945,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483164.0,Teloibari Gaon,18.0,310.0,2067.0,291842.0,ASSAM,Dibrugarh,Moran,Teloibari Gaon,291842.0,447.0,18291842.0,Census Village,Teloibari Gaon
3946,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483224.0,Nawpathar Gaon,18.0,310.0,2067.0,291848.0,ASSAM,Dibrugarh,Moran,Na-Pather,291848.0,386.0,18291848.0,Census Village,Na-Pather
3947,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483350.0,Nowkota Gaon,18.0,310.0,2067.0,291996.0,ASSAM,Dibrugarh,Moran,Nowkata Gaon,291996.0,250.0,18291996.0,Census Village,Nowkata Gaon
3948,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483375.0,Saragphala Gaon,18.0,310.0,2067.0,291793.0,ASSAM,Dibrugarh,Moran,Saragfala Goan,291793.0,214.0,18291793.0,Census Village,Saragfala Goan
3949,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483389.0,Domardolong No.4,18.0,310.0,2067.0,292000.0,ASSAM,Dibrugarh,Moran,Domradalang No.4,292000.0,165.0,18292000.0,Census Village,Domradalang No.4
3950,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483397.0,Lukumai Gaon No.2,18.0,310.0,2067.0,291877.0,ASSAM,Dibrugarh,Moran,Lukumai No.2,291877.0,189.0,18291877.0,Census Village,Lukumai No.2
3951,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483442.0,Dikhari Kinar Saragphala,18.0,310.0,2067.0,291791.0,ASSAM,Dibrugarh,Moran,Dikhari Kinar Saragfala,291791.0,489.0,18291791.0,Census Village,Dikhari Kinar Saragfala
3952,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483458.0,Naharani Sonowal,18.0,310.0,2067.0,291847.0,ASSAM,Dibrugarh,Moran,Naharani Sonowal,291847.0,632.0,18291847.0,Census Village,Naharani Sonowal
3953,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483471.0,Teloijan Gaon,18.0,310.0,2067.0,292002.0,ASSAM,Dibrugarh,Moran,Teloijan Gaon,292002.0,886.0,18292002.0,Census Village,Teloijan Gaon
3954,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483560.0,Naw Hazar Sonowal,18.0,310.0,2067.0,291777.0,ASSAM,Dibrugarh,Moran,Nahazar Sonowal,291777.0,119.0,18291777.0,Census Village,Nahazar Sonowal
3955,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483597.0,Silputa Gaon No.2,18.0,310.0,2067.0,291789.0,ASSAM,Dibrugarh,Moran,Silputa No.2,291789.0,191.0,18291789.0,Census Village,Silputa No.2
3956,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483623.0,Samoguri Gaon,18.0,310.0,2067.0,291896.0,ASSAM,Dibrugarh,Moran,Samuguri,291896.0,237.0,18291896.0,Census Village,Samuguri
3957,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483660.0,Madhakoli Gaon No.1,18.0,310.0,2067.0,291844.0,ASSAM,Dibrugarh,Moran,Madhakali No.1,291844.0,755.0,18291844.0,Census Village,Madhakali No.1
3958,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483661.0,Silputa Gaon No.1,18.0,310.0,2067.0,291785.0,ASSAM,Dibrugarh,Moran,Silputa No.1,291785.0,1142.0,18291785.0,Census Village,Silputa No.1
3959,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483667.0,Haladhibari Nawgong,18.0,310.0,2067.0,291795.0,ASSAM,Dibrugarh,Moran,Haladhi Bari Na-Gaon,291795.0,295.0,18291795.0,Census Village,Haladhi Bari Na-Gaon
3960,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483670.0,Mautani Sonwal,18.0,310.0,2067.0,291846.0,ASSAM,Dibrugarh,Moran,Mautani No.1,291846.0,231.0,18291846.0,Census Village,Mautani No.1
3961,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483686.0,Kashi Pathar Gaon,18.0,310.0,2067.0,291883.0,ASSAM,Dibrugarh,Moran,Kashi Pather,291883.0,101.0,18291883.0,Census Village,Kashi Pather
3962,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483690.0,Ghuraghas No.2,18.0,310.0,2067.0,291885.0,ASSAM,Dibrugarh,Moran,Ghuraghas No.2,291885.0,217.0,18291885.0,Census Village,Ghuraghas No.2
3963,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483744.0,Naharani Gaon No.2,18.0,310.0,2067.0,291796.0,ASSAM,Dibrugarh,Moran,Naharoni No.2,291796.0,741.0,18291796.0,Census Village,Naharoni No.2
3964,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483850.0,Ghuraghas No.3,18.0,310.0,2067.0,291884.0,ASSAM,Dibrugarh,Moran,Ghuraghas No.3,291884.0,318.0,18291884.0,Census Village,Ghuraghas No.3
3965,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483872.0,Sagunijan Gaon,18.0,310.0,2067.0,291783.0,ASSAM,Dibrugarh,Moran,Sagunijan,291783.0,147.0,18291783.0,Census Village,Sagunijan
3966,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483889.0,Silputa Gaon No.3,18.0,310.0,2067.0,291790.0,ASSAM,Dibrugarh,Moran,Silputa No.3,291790.0,189.0,18291790.0,Census Village,Silputa No.3
3967,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483925.0,Domardolong No.2,18.0,310.0,2067.0,291895.0,ASSAM,Dibrugarh,Moran,Domordalang,291895.0,550.0,18291895.0,Census Village,Domordalang
3968,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483931.0,Ghuraghas No.1,18.0,310.0,2067.0,291838.0,ASSAM,Dibrugarh,Moran,Ghuraghas No.1,291838.0,436.0,18291838.0,Census Village,Ghuraghas No.1
3969,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483939.0,Teloijan T.E. No.25,18.0,310.0,2067.0,292003.0,ASSAM,Dibrugarh,Moran,Teloijan Darkhsta No.25,292003.0,2108.0,18292003.0,Census Village,Teloijan Darkhsta No.25
3970,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483945.0,Monipathar Gaon,18.0,310.0,2067.0,291841.0,ASSAM,Dibrugarh,Moran,Moni Pather,291841.0,623.0,18291841.0,Census Village,Moni Pather
3971,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483966.0,Madhakoli Gaon No.2 6F10,18.0,310.0,2067.0,291769.0,ASSAM,Dibrugarh,Moran,Madhakoli No.2,291769.0,598.0,18291769.0,Census Village,Madhakoli No.2
3972,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,483999.0,Haladhibari Barpathar,18.0,310.0,2067.0,291779.0,ASSAM,Dibrugarh,Moran,Haldhibari Borpather,291779.0,417.0,18291779.0,Census Village,Haldhibari Borpather
3973,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484030.0,Madhakoli Grant No.128,18.0,310.0,2067.0,291799.0,ASSAM,Dibrugarh,Moran,Madhakoli Grant No.128,291799.0,209.0,18291799.0,Census Village,Madhakoli Grant No.128
3974,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484077.0,Baghtali Pathar Gaon,18.0,310.0,2067.0,291770.0,ASSAM,Dibrugarh,Moran,Baghtali Pather Gaon,291770.0,937.0,18291770.0,Census Village,Baghtali Pather Gaon
3975,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484080.0,Mautani Gaon No.2,18.0,310.0,2067.0,291776.0,ASSAM,Dibrugarh,Moran,Mautoni No.2,291776.0,244.0,18291776.0,Census Village,Mautoni No.2
3976,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484083.0,Dihingia Gaon No.3,18.0,310.0,2067.0,291781.0,ASSAM,Dibrugarh,Moran,Dihingia Gaon No.3,291781.0,241.0,18291781.0,Census Village,Dihingia Gaon No.3
3977,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484102.0,Khowang Grant No.319,18.0,310.0,2067.0,291803.0,ASSAM,Dibrugarh,Moran,Khowang 319 No. Nlr Grant,291803.0,716.0,18291803.0,Census Village,Khowang 319 No. Nlr Grant
3978,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484104.0,Baghtali Bahani Gaon,18.0,310.0,2067.0,291798.0,ASSAM,Dibrugarh,Moran,Baghtoli Bahani,291798.0,400.0,18291798.0,Census Village,Baghtoli Bahani
3979,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484172.0,Dihingia Gaon N.C.,18.0,310.0,2067.0,291707.0,ASSAM,Dibrugarh,Moran,Dihingia Nadikinar N.C. No.2,291707.0,0.0,18291707.0,Census Village,Dihingia Nadikinar N.C. No.2
3980,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484193.0,Dihingia Gaon No.2,18.0,310.0,2067.0,291782.0,ASSAM,Dibrugarh,Moran,Dihingia Gaon No.2,291782.0,331.0,18291782.0,Census Village,Dihingia Gaon No.2
3981,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484230.0,Ahom Gaon No.2,18.0,310.0,2067.0,291778.0,ASSAM,Dibrugarh,Moran,Ahomgaon No.2,291778.0,252.0,18291778.0,Census Village,Ahomgaon No.2
3982,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484277.0,Konwar Gaon No.2,18.0,310.0,2067.0,291780.0,ASSAM,Dibrugarh,Moran,Konwargaon No.2,291780.0,421.0,18291780.0,Census Village,Konwargaon No.2
3983,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484336.0,Baghtali Sonowal Gaon,18.0,310.0,2067.0,291773.0,ASSAM,Dibrugarh,Moran,Baghtoli Sonowal,291773.0,111.0,18291773.0,Census Village,Baghtoli Sonowal
3984,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484338.0,Rangchali Nepali,18.0,310.0,2067.0,291839.0,ASSAM,Dibrugarh,Moran,Rangchali Nepali,291839.0,589.0,18291839.0,Census Village,Rangchali Nepali
3985,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484374.0,Teloijan T.E. No.26,18.0,310.0,2067.0,291894.0,ASSAM,Dibrugarh,Moran,Teloijan Darkhasta No.26,291894.0,432.0,18291894.0,Census Village,Teloijan Darkhasta No.26
3986,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484376.0,Khowang T.E. No.11/164 Or,18.0,310.0,2067.0,291768.0,ASSAM,Dibrugarh,Moran,Khowang 11/164 Nlr Grant,291768.0,3378.0,18291768.0,Census Village,Khowang 11/164 Nlr Grant
3987,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484383.0,Ahom Gaon No.1,18.0,310.0,2067.0,291775.0,ASSAM,Dibrugarh,Moran,Ahomgaon No.1,291775.0,341.0,18291775.0,Census Village,Ahomgaon No.1
3988,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484397.0,Chetia Gaon,18.0,310.0,2067.0,291708.0,ASSAM,Dibrugarh,Moran,Chetia Gaon,291708.0,310.0,18291708.0,Census Village,Chetia Gaon
3989,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484548.0,Konwar Gaon No.1,18.0,310.0,2067.0,291709.0,ASSAM,Dibrugarh,Moran,Konwar Gaon No.1,291709.0,566.0,18291709.0,Census Village,Konwar Gaon No.1
3990,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484563.0,Rangchali Gaon,18.0,310.0,2067.0,291800.0,ASSAM,Dibrugarh,Moran,Rangchali Gaon,291800.0,100.0,18291800.0,Census Village,Rangchali Gaon
3991,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484574.0,Bamunbari T.E. 50/162 Gra,18.0,310.0,2067.0,291889.0,ASSAM,Dibrugarh,Moran,Bamunbari 50/162 Or Grant,291889.0,3624.0,18291889.0,Census Village,Bamunbari 50/162 Or Grant
3992,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484578.0,Ahom Gaon Kataki Pukhuri,18.0,310.0,2067.0,291772.0,ASSAM,Dibrugarh,Moran,Ahomgaon Kataki Pukhuri,291772.0,268.0,18291772.0,Census Village,Ahomgaon Kataki Pukhuri
3993,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484603.0,Khowang Grant No.312,18.0,310.0,2067.0,291802.0,ASSAM,Dibrugarh,Moran,Khowang 312 No. Nlr Grant,291802.0,1281.0,18291802.0,Census Village,Khowang 312 No. Nlr Grant
3994,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484700.0,Rangchali Block,18.0,310.0,2067.0,291801.0,ASSAM,Dibrugarh,Moran,Rangchali Block,291801.0,157.0,18291801.0,Census Village,Rangchali Block
3995,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484847.0,Dulia Lahowal Gaon,18.0,310.0,2067.0,291767.0,ASSAM,Dibrugarh,Moran,Dulia Lahowal Gaon,291767.0,1060.0,18291767.0,Census Village,Dulia Lahowal Gaon
3996,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484856.0,Dalanikur Kumar Gaon,18.0,310.0,2067.0,291713.0,ASSAM,Dibrugarh,Moran,Dalanikur Kumar Gaon,291713.0,347.0,18291713.0,Census Village,Dalanikur Kumar Gaon
3997,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484877.0,Moina Gaon No.2,18.0,310.0,2067.0,291706.0,ASSAM,Dibrugarh,Moran,Moina Gaon No.2,291706.0,82.0,18291706.0,Census Village,Moina Gaon No.2
3998,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484897.0,Moina Gaon No.1,18.0,310.0,2067.0,291705.0,ASSAM,Dibrugarh,Moran,Moina Gaon No.1,291705.0,75.0,18291705.0,Census Village,Moina Gaon No.1
3999,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484901.0,Athabari Gaon,18.0,310.0,2067.0,291720.0,ASSAM,Dibrugarh,Moran,Athabari Gaon,291720.0,1198.0,18291720.0,Census Village,Athabari Gaon
4000,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484950.0,Ahom Gaon Nagar,18.0,310.0,2067.0,291774.0,ASSAM,Dibrugarh,Moran,Ahomgaon Nagar,291774.0,373.0,18291774.0,Census Village,Ahomgaon Nagar
4001,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484995.0,Ghugulani Bongali,18.0,310.0,2067.0,291804.0,ASSAM,Dibrugarh,Moran,Ghuguloni Bongali,291804.0,649.0,18291804.0,Census Village,Ghuguloni Bongali
4002,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,484997.0,Khowang Sonowal Bongali G,18.0,310.0,2067.0,291719.0,ASSAM,Dibrugarh,Moran,Khowang Sonowal Bongali Gaon,291719.0,1828.0,18291719.0,Census Village,Khowang Sonowal Bongali Gaon
4003,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,485015.0,Duliabam Gaon No.2,18.0,310.0,2067.0,291765.0,ASSAM,Dibrugarh,Moran,Duliabam Gaon,291765.0,311.0,18291765.0,Census Village,Duliabam Gaon
4004,Assam,Dibrugarh,18,310,102,Khowang,2565,2652,286,18,501303632.7,150937.4313,485052.0,Halmari T.E. 330 Nlr,18.0,310.0,2067.0,291726.0,ASSAM,Dibrugarh,Moran,Halmari Nlr Grant No.330,291726.0,488.0,18291726.0,Census Village,Halmari Nlr Grant No.330
